id,book,section,type,category,question,answer,choice1,choice2,choice3,note,example,example_ja,example_answer
1,試験によく出る単語,P.19 反対語,word,形容詞,fat,太った,,,,,,,
2,試験によく出る単語,P.19 反対語,word,形容詞,thin,細い・薄い,,,,,,,
3,試験によく出る単語,P.19 反対語,word,形容詞,female,女性の,,,,,,,
4,試験によく出る単語,P.19 反対語,word,形容詞,male,男性の,,,,,,,
5,試験によく出る単語,P.19 反対語,word,形容詞,married,既婚の,,,,,,,
6,試験によく出る単語,P.19 反対語,word,形容詞,single,独身の・未婚の,,,,,,,
7,試験によく出る単語,P.19 名詞,word,名詞,ability,能力,,,,,,,
8,試験によく出る単語,P.19 名詞,word,名詞,activity,活動,,,,,,,
9,試験によく出る単語,P.19 名詞,word,名詞,aisle,(座席間の)通路,,,,,,,
10,試験によく出る単語,P.19 名詞,word,名詞,appearance,外観・出現,,,,,,,
11,試験によく出る単語,P.19 名詞,word,名詞,average,平均,,,,,,,
12,試験によく出る単語,P.19 名詞,word,名詞,closet,クローゼット,,,,,,,
13,試験によく出る単語,P.19 名詞,word,名詞,distance,距離,,,,,,,
14,試験によく出る単語,P.19 名詞,word,名詞,illness,病気,,,,,,,
15,試験によく出る単語,P.19 名詞,word,名詞,injury,けが,,,,,,,
16,試験によく出る単語,P.19 名詞,word,名詞,knowledge,知識,,,,,,,
17,試験によく出る単語,P.19 名詞,word,名詞,opportunity,機会,,,,,,,
18,試験によく出る単語,P.19 名詞,word,名詞,point,要点,,,,,,,
19,試験によく出る単語,P.19 名詞,word,名詞,progress,進展・進歩,,,,,,,
20,試験によく出る単語,P.19 名詞,word,名詞,rule,規則・ルール,,,,,,,
21,試験によく出る単語,P.19 名詞,word,名詞,skill,技術,,,,,,,
22,試験によく出る単語,P.19 名詞,word,名詞,title,題名,,,,,,,
23,試験によく出る単語,P.19 名詞,word,名詞,treasure,宝物,,,,,,,
24,試験によく出る単語,P.19 名詞,word,名詞,waste,廃棄物・浪費,,,,,,,
25,試験によく出る単語,P.19 名詞,word,名詞,access,利用する権利・機会,,,,,,,
26,試験によく出る単語,P.19 名詞,word,名詞,advantage,有利・利点,,,,,,,
27,試験によく出る単語,P.19 名詞,word,名詞,amount,量,,,,,,,
28,試験によく出る単語,P.19 名詞,word,名詞,assistant,助手,,,,,,,
29,試験によく出る単語,P.19 名詞,word,名詞,career,職業・経歴,,,,,,,
30,試験によく出る単語,P.19 名詞,word,名詞,direction,方向・指示,,,,,,,
31,試験によく出る単語,P.19 名詞,word,名詞,flavor,風味,,,,,,,
32,試験によく出る単語,P.19 名詞,word,名詞,impression,印象,,,,,,,
33,試験によく出る単語,P.19 名詞,word,名詞,instruction,指示,,,,,,,
34,試験によく出る単語,P.19 名詞,word,名詞,matter,問題・事柄,,,,,,,
35,試験によく出る単語,P.19 名詞,word,名詞,payment,支払い,,,,,,,
36,試験によく出る単語,P.19 名詞,word,名詞,pressure,圧力・重圧,,,,,,,
37,試験によく出る単語,P.19 名詞,word,名詞,risk,危険,,,,,,,
38,試験によく出る単語,P.19 名詞,word,名詞,service,奉仕・役に立つこと,,,,,,,
39,試験によく出る単語,P.19 名詞,word,名詞,strength,力,,,,,,,
40,試験によく出る単語,P.19 名詞,word,名詞,translation,翻訳,,,,,,,
41,試験によく出る単語,P.19 名詞,word,名詞,use,使用・役に立つこと,,,,,,,
42,試験によく出る単語,P.19 名詞,word,名詞,weight,重さ・体重,,,,,,,
43,試験によく出る単語,P.19 副詞,word,副詞,immediately,直ちに,,,,,,,
44,試験によく出る単語,P.19 副詞,word,副詞,nearly,ほとんど・もう少しで,,,,,,,
45,試験によく出る単語,P.19 副詞,word,副詞,outdoors,屋外で,,,,,,,
46,試験によく出る単語,P.19 副詞,word,副詞,shortly,手短に・つまり,,,,,,,
47,試験によく出る単語,P.19 副詞,word,副詞,wholly,完全に,,,,,,,
48,試験によく出る単語,P.19 副詞,word,副詞,indoors,屋内で,,,,,,,
49,試験によく出る単語,P.19 副詞,word,副詞,neither,〜もまた…ない,,,,,,,
50,試験によく出る単語,P.19 副詞,word,副詞,perhaps,たぶん,,,,,,,
51,試験によく出る単語,P.19 副詞,word,副詞,upstairs,階上・二階で,,,,,,,
52,試験によく出る単語,P.19 副詞,word,副詞,worldwide,世界中で,,,,,,,
53,試験によく出る単語,P.19 副詞,word,副詞,abroad,外国で,,,,,,,
54,試験によく出る単語,P.19 副詞,word,副詞,overseas,海外へ,,,,,,,
55,試験によく出る単語,P.19 副詞,word,副詞,already,(肯定文で)すでに,,,,,,,
56,試験によく出る単語,P.19 副詞,word,副詞,yet,(否定文で)まだ・(疑問文で)もう,,,,,,,
57,試験によく出る単語,P.19 副詞,word,副詞,lately,近ごろ,,,,,,,
58,試験によく出る単語,P.19 副詞,word,副詞,recently,最近,,,,,,,
59,試験によく出る単語,P.19 副詞,word,副詞,rarely,たまにしか〜しない,,,,,,,
60,試験によく出る単語,P.19 副詞,word,副詞,seldom,めったに〜ない,,,,,,,
61,試験によく出る単語,P.19 接続詞,word,接続詞,although,〜ではあるが,,,,,,,
62,試験によく出る単語,P.19 接続詞,word,接続詞,however,しかしながら,,,,,,,
63,試験によく出る単語,P.19 接続詞,word,接続詞,nor,〜もまた…ない,,,,,,,
64,試験によく出る単語,P.19 接続詞,word,接続詞,than,〜よりも,,,,,,,
65,試験によく出る単語,P.19 接続詞,word,接続詞,until,〜するまで(ずっと),,,,,,,
66,試験によく出る単語,P.18 動詞,word,動詞,ache,(体の一部が)痛む,,,,,,,
67,試験によく出る単語,P.18 動詞,word,動詞,allow,許す,,,,,,,
68,試験によく出る単語,P.18 動詞,word,動詞,attack,襲う,,,,,,,
69,試験によく出る単語,P.18 動詞,word,動詞,bend,曲げる,,,,,,,
70,試験によく出る単語,P.18 動詞,word,動詞,bother,困らせる,,,,,,,
71,試験によく出る単語,P.18 動詞,word,動詞,breathe,呼吸する,,,,,,,
72,試験によく出る単語,P.18 動詞,word,動詞,conclude,結論を下す,,,,,,,
73,試験によく出る単語,P.18 動詞,word,動詞,contain,含む,,,,,,,
74,試験によく出る単語,P.18 動詞,word,動詞,correct,訂正する,,,,,,,
75,試験によく出る単語,P.18 動詞,word,動詞,destroy,破壊する,,,,,,,
76,試験によく出る単語,P.18 動詞,word,動詞,dig,掘る,,,,,,,
77,試験によく出る単語,P.18 動詞,word,動詞,discuss,議論する,,,,,,,
78,試験によく出る単語,P.18 動詞,word,動詞,divide,分割する,,,,,,,
79,試験によく出る単語,P.18 動詞,word,動詞,escape,逃げる,,,,,,,
80,試験によく出る単語,P.18 動詞,word,動詞,expect,予期[期待]する,,,,,,,
81,試験によく出る単語,P.18 動詞,word,動詞,govern,統治する,,,,,,,
82,試験によく出る単語,P.18 動詞,word,動詞,include,含む,,,,,,,
83,試験によく出る単語,P.18 動詞,word,動詞,lead,案内する・導く,,,,,,,
